"Nombre completo";"Entidad";"Complementos - Identificador";"Dirección";"Complementos - Teléfono";"Complementos - Está operativa";"Complementos - Número aprox. de usuarios";"Fecha de creación";
"CCM Chari Navarro (Alcolea) > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Chari Navarro (Alcolea) > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Chari Navarro (Alcolea) > Planta 1 > Delegación Alcaldía en Alcolea";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Chari Navarro (Alcolea) > Planta 1 > Participación ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Chari Navarro (Alcolea) > Planta 1 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM El Naranjo";"Ayuntamiento de Córdoba > Informática";"S051";"Calle Díaz Huertas 21. 14071 Córdoba";"957767636";"Sí";"4";"";
"CCM El Naranjo > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM El Naranjo > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM El Naranjo > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM El Naranjo > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM El Naranjo > Planta 1 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM El Naranjo > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM El Naranjo > Planta 2 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Fuensanta";"Ayuntamiento de Córdoba > Informática";"S014";"Calle Arquitecto Sáenz de Santamaría, 14. 14010 Córdoba";"957431056";"Sí";"30";"";
"CCM Fuensanta > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Fuensanta > Planta 0 > Almacén temporal CPD";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Fuensanta > Planta 0 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
