"Nombre completo";"Entidad";"Visible en la interfaz simplificada";"ID";"Complementos - Icono";"Última actualización";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. GRegistro";"Ayuntamiento de Córdoba > Informática";"No";"89";"dsi fa usu-apl";"2022-05-31 14:22";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. INE/Censo";"Ayuntamiento de Córdoba > Informática";"No";"124";"dsi fa usu-apl";"2023-03-01 08:23";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Matrimonios Civiles";"Ayuntamiento de Córdoba > Informática";"No";"116";"dsi fa usu-apl";"2022-12-20 11:45";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Notifica";"Ayuntamiento de Córdoba > Informática";"Sí";"212";"dsi fa usu-apl";"2025-02-10 12:33";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Nube";"Ayuntamiento de Córdoba > Informática";"No";"121";"dsi fa usu-apl";"2023-01-16 11:41";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. ORVE";"Ayuntamiento de Córdoba > Informática";"Sí";"207";"dsi fa usu-apl";"2025-02-10 12:33";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Padrón Web";"Ayuntamiento de Córdoba > Informática";"No";"20";"dsi fa usu-apl";"2022-05-31 14:22";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local";"Ayuntamiento de Córdoba > Informática";"No";"165";"dsi fa usu-apl";"2023-10-25 08:30";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. ABANDONADOS";"Ayuntamiento de Córdoba > Informática";"No";"166";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. ARMAS";"Ayuntamiento de Córdoba > Informática";"No";"167";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. BARRIO";"Ayuntamiento de Córdoba > Informática";"No";"168";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. BUSCACALLES";"Ayuntamiento de Córdoba > Informática";"No";"169";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. CMC";"Ayuntamiento de Córdoba > Informática";"No";"170";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. DEPOSITO";"Ayuntamiento de Córdoba > Informática";"No";"171";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. DILIGENCIAS";"Ayuntamiento de Córdoba > Informática";"No";"172";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. EDITINCIDENCIAS";"Ayuntamiento de Córdoba > Informática";"No";"173";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. ESCUELA";"Ayuntamiento de Córdoba > Informática";"No";"174";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. EXPEDIENTES";"Ayuntamiento de Córdoba > Informática";"No";"175";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. EXPEDIENTESVDG";"Ayuntamiento de Córdoba > Informática";"No";"176";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. FERIA";"Ayuntamiento de Córdoba > Informática";"No";"177";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. GESPERSONAL";"Ayuntamiento de Córdoba > Informática";"No";"178";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. GESTIONES";"Ayuntamiento de Córdoba > Informática";"No";"179";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. HOJASRUTA";"Ayuntamiento de Córdoba > Informática";"No";"180";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. INCIDENCIAS";"Ayuntamiento de Córdoba > Informática";"No";"181";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. INTENDENTES";"Ayuntamiento de Córdoba > Informática";"No";"182";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. INVENTARIO";"Ayuntamiento de Córdoba > Informática";"No";"183";"dsi fa usu-apl";"2024-04-29 08:07";
